region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr,pg,estimate_type
Sub-Saharan Africa,SSA,Angola,AGO,2000,national,HBS,national,2000.21,consumption,0,2000,2.15,0.21360566,0.090902769,0.05268623,0.147382485,7.38885427,4.673318176,0.509410112,0.519447178,0.464338861,0.009912799,0.021986919,0.033416109,0.045094764,0.056465897,0.070481836,0.088172285,0.113397364,0.159391212,0.401680816,0.014172986,107.269989,16509042.25,1909.502065,,FALSE,micro,survey,3.486659088,0.372371198,9.722334119,
Sub-Saharan Africa,SSA,Angola,AGO,2008,national,IBEP-MICS,national,2008.5,consumption,1,2008,2.15,0.145896883,0.040396381,0.01646602,0.053352771,6.526025243,4.703099811,0.311631502,0.42715515,0.39136525,0.020722705,0.033564172,0.043176168,0.053027306,0.06542599,0.079237582,0.096511888,0.122976103,0.162341589,0.323016498,0.302878429,107.269989,22099598,3176.672166,1201.311092,FALSE,micro,survey,3.501549905,0.353722244,6.925334115,
Sub-Saharan Africa,SSA,Angola,AGO,2018,national,IDREA,national,2018.17,consumption,2,2018,2.15,0.311220062,0.119191437,0.06231013,0.179058969,5.482368049,3.420502238,0.476333415,0.512639915,0.470981497,0.013348494,0.024281558,0.033329455,0.043437127,0.055829007,0.069808939,0.08869286,0.115675892,0.15938008,0.396216587,1.231041268,107.269989,31457142.35,2777.843045,1495.340595,FALSE,micro,survey,2.860251119,0.42222625,11.09880963,
Europe & Central Asia,ECA,Albania,ALB,1996,national,EWS,national,1996,consumption,0,1996,2.15,0.00534846,9.82E-04,3.05E-04,0.001203124,7.93315755,6.972102629,0.119104327,0.27010342,0.241293272,0.038817883,0.052792297,0.063706567,0.075240257,0.083462238,0.092457305,0.107789613,0.126116176,0.152507706,0.207109957,0.399635231,50.35737228,3168033,1633.552,1716.336801,FALSE,micro,survey,4.636051315,0.195180297,3.999502912,
Europe & Central Asia,ECA,Albania,ALB,2002,national,LSMS,national,2002,consumption,1,2002 - 2012,2.15,0.010926474,0.001894349,5.94E-04,0.002382839,8.108228792,6.688141411,0.1648116,0.317389798,0.268981639,0.035234534,0.048484451,0.058520715,0.067376298,0.076407873,0.088384439,0.102324653,0.119868982,0.149999216,0.253398839,0.701637002,50.35737228,3051010,2247.49808,1685.203078,FALSE,micro,survey,4.494070705,0.212853603,4.208419034,
Europe & Central Asia,ECA,Albania,ALB,2005,national,LSMS,national,2005,consumption,1,2002 - 2012,2.15,0.005910857,8.97E-04,2.29E-04,0.001042396,9.165974569,7.799791172,0.154412756,0.305956557,0.254528657,0.034870462,0.049362953,0.059658204,0.069354656,0.079654227,0.090390908,0.104065136,0.121028739,0.148298449,0.243316266,0.753957831,50.35737228,3011487,2675.508637,2079.203475,FALSE,micro,survey,5.049895586,0.200381347,3.668447904,
Europe & Central Asia,ECA,Albania,ALB,2008,national,LSMS,national,2008,consumption,1,2002 - 2012,2.15,0.001999251,3.96E-04,8.69E-05,4.49E-04,10.03816934,8.400199674,0.148893381,0.299846704,0.247311113,0.037382981,0.051433949,0.06098502,0.069847255,0.079011326,0.089379473,0.10288302,0.119204651,0.145468019,0.244404306,0.820114038,50.35737228,2947314,3298.478908,2820.279513,FALSE,micro,survey,5.350099837,0.169018457,3.278544352,
Europe & Central Asia,ECA,Albania,ALB,2012,national,LSMS,national,2012,consumption,1,2002 - 2012,2.15,0.006206909,0.001308925,4.52E-04,0.001637725,9.517231461,8.240384965,0.138417068,0.289604846,0.249987921,0.036604353,0.05192536,0.061460826,0.070334993,0.080799745,0.092617752,0.10513341,0.122924904,0.148902113,0.229296543,0.91718275,50.35737228,2900401,3736.34008,2990.396598,FALSE,micro,survey,5.270192482,0.182770726,3.453317965,
Europe & Central Asia,ECA,Albania,ALB,2014,national,HBS,national,2014,consumption,2,2014 - 2017,2.15,0.010231008,0.001387079,2.67E-04,0.001545265,10.14130988,8.295375496,0.198661566,0.345988965,0.324309702,0.028540807,0.041743442,0.052298415,0.06304867,0.075132676,0.089338199,0.105912036,0.127275531,0.161268537,0.255441687,0.95015539,50.35737228,2889104,3855.760744,3143.254125,FALSE,micro,survey,5.297687748,0.249178181,3.64772886,
Europe & Central Asia,ECA,Albania,ALB,2015,national,HBS,national,2015,consumption,2,2014 - 2017,2.15,0.000960675,4.03E-05,2.74E-06,4.17E-05,12.24526508,10.04312575,0.17549547,0.327537318,0.300363766,0.031547364,0.045467808,0.055666923,0.065791516,0.076198266,0.088866305,0.104759012,0.12525942,0.158704783,0.247738603,0.968171975,50.35737228,2880703,3952.803574,3189.705326,FALSE,micro,survey,6.171562875,0.19733862,2.878724509,
Europe & Central Asia,ECA,Albania,ALB,2016,national,HBS,national,2016,consumption,2,2014 - 2017,2.15,0.001393032,1.06E-04,1.38E-05,1.14E-04,12.53200741,10.2749226,0.187580582,0.337362987,0.314380354,0.029695863,0.043512688,0.054228764,0.064288083,0.07519773,0.088967034,0.10520704,0.127040351,0.161402137,0.250460311,0.980520387,50.35737228,2876101,4090.372728,3262.756959,FALSE,micro,survey,6.287461302,0.209756031,2.886985788,
Europe & Central Asia,ECA,Albania,ALB,2016,national,SILC-C,national,2016,income,4,2016 - 2018,2.15,0.057951018,0.022142578,0.011332283,0.032514081,9.944764601,8.134323084,0.273725986,0.385655961,0.350360082,0.018382586,0.034852514,0.047918277,0.060813789,0.073589779,0.08867152,0.105685452,0.129208159,0.16630315,0.274574774,0.980520387,50.35737228,2876101,4090.372728,3262.756959,FALSE,micro,survey,5.217161542,0.287622888,4.711494046,
Europe & Central Asia,ECA,Albania,ALB,2017,national,HBS,national,2017,consumption,2,2014 - 2017,2.15,0.003925699,3.88E-04,5.49E-05,4.19E-04,12.41121895,10.18766878,0.179908465,0.330556627,0.308522265,0.030917738,0.04458799,0.054791035,0.065082411,0.076048936,0.089085788,0.10544003,0.127174153,0.160816011,0.246055907,1,50.35737228,2873457,4249.820049,3345.556245,FALSE,micro,survey,6.24383439,0.201995766,2.877714589,
