region_name,region_code,reporting_year,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,spr,pg,estimate_type,reporting_pop,pop_in_poverty
Eastern and Southern Africa,AFE,1981,2.15,0.520421732,0.221451073,0.121232649,0.33957677,4.085327066,0.570093178,16.15102962,projection,237937461,123827826
Eastern and Southern Africa,AFE,1982,2.15,0.524178279,0.224835387,0.123868925,0.346445121,4.028695499,0.573342688,16.39679119,projection,245386717,128626387
Eastern and Southern Africa,AFE,1983,2.15,0.529285225,0.229056387,0.127260166,0.355580065,3.964914819,0.576800122,16.72639834,projection,252779730,133792576
Eastern and Southern Africa,AFE,1984,2.15,0.539275678,0.235350435,0.131499006,0.366888601,3.926849668,0.585818085,17.0731112,projection,260209149,140324465
Eastern and Southern Africa,AFE,1985,2.15,0.546945712,0.239641511,0.134208174,0.374002237,3.877052066,0.591560225,17.28011092,projection,267938123,146547607
Eastern and Southern Africa,AFE,1986,2.15,0.54034352,0.235130879,0.131350631,0.366862901,3.895628219,0.585343119,17.10568862,projection,276035920,149154221
Eastern and Southern Africa,AFE,1987,2.15,0.533193161,0.230043076,0.127628558,0.356850267,3.934223655,0.579845644,16.78168977,projection,284490394,151688333
Eastern and Southern Africa,AFE,1988,2.15,0.532840881,0.22933481,0.126815533,0.354544164,3.974020049,0.580186602,16.66680307,projection,292795186,156013245
Eastern and Southern Africa,AFE,1989,2.15,0.532838961,0.229954027,0.12729104,0.355509792,3.97721266,0.581572107,16.6828278,projection,301124880,160451068
Eastern and Southern Africa,AFE,1990,2.15,0.542399406,0.235771474,0.131215859,0.365660243,3.931666633,0.590015631,16.99087629,projection,309890664,168084512
Eastern and Southern Africa,AFE,1991,2.15,0.556711964,0.24719575,0.13921695,0.385925004,3.847879073,0.604349224,17.57746329,projection,318544083,177337302
Eastern and Southern Africa,AFE,1992,2.15,0.570036498,0.256504027,0.145739347,0.402661792,3.724148605,0.615870781,18.0813256,projection,326933522,186364040
Eastern and Southern Africa,AFE,1993,2.15,0.581228067,0.264546317,0.151688858,0.41769267,3.491393079,0.623931952,18.59549328,actual,335625136,195074749
Eastern and Southern Africa,AFE,1994,2.15,0.583155032,0.270402724,0.157285347,0.431412843,3.421670222,0.628363349,19.07082691,actual,344418362,200849301
